APY,ACTUAL_PROJECT_YEAR,APY_COST_inf2018,search_term
2014.0,2014R01HL109489,441033.0,TargetOnly
2017.0,2017R01HL109650,464357.0,TargetOnly
2016.0,2016R01HL109650,484331.0,TargetOnly
2015.0,2015R01HL109650,562867.0,TargetOnly
2019.0,2019R01HL109946,728276.0,TargetOnly
2014.0,2014R01HL109946,785079.0,TargetOnly
2013.0,2013R01HL039693,444462.0,TargetOnly
2020.0,2020R01HL108735,995727.0,TargetOnly
2016.0,2016R01HL114805,455041.0,TargetOnly
2013.0,2013R01HL111945,521165.0,TargetOnly
2015.0,2015R01HL107319,610604.0,TargetOnly
2015.0,2015R01HL107550,597593.0,TargetOnly
2015.0,2015R01HL110380,408223.0,TargetOnly
2014.0,2014R01HL113147,841070.0,TargetOnly
2015.0,2015R01HL109506,898070.0,TargetOnly
2017.0,2017R01HL119828,422869.0,TargetOnly
2016.0,2016R01HL119828,441059.0,TargetOnly
2015.0,2015R01HL119828,445474.0,TargetOnly
2018.0,2018R01HL118744,402500.0,TargetOnly
2017.0,2017R01HL118744,422381.0,TargetOnly
2016.0,2016R01HL118744,441186.0,TargetOnly
2017.0,2017R01HL119798,485732.0,TargetOnly
2015.0,2015R01HL109301,651578.0,TargetOnly
2015.0,2015R01HL117933,444823.0,TargetOnly
2017.0,2017R01HL118361,398770.0,TargetOnly
2017.0,2017R01HL124879,788260.0,TargetOnly
2016.0,2016R01HL120393,4039414.0,TargetOnly
2014.0,2014R01HL120393,2451369.0,TargetOnly
2017.0,2017R01HL119225,400081.0,TargetOnly
2017.0,2017R01HL121008,573024.0,TargetOnly
2017.0,2017R01HL118567,419758.0,TargetOnly
2018.0,2018R01HL123160,746311.0,TargetOnly
2016.0,2016R01HL125863,884031.0,TargetOnly
2018.0,2018R01HL120905,609636.0,TargetOnly
2019.0,2019R01HL128801,508854.0,TargetOnly
2017.0,2017R01HL125059,1169505.0,TargetOnly
2018.0,2018R01HL127564,767997.0,TargetOnly
2016.0,2016R01HL127564,868261.0,TargetOnly
2016.0,2016R01HL124174,568754.0,TargetOnly
2018.0,2018R01HL120507,544681.0,TargetOnly
2019.0,2019R01HL128457,373827.0,TargetOnly
2019.0,2019R01HL133723,693612.0,TargetOnly
2016.0,2016R01HL133723,616556.0,TargetOnly
2018.0,2018R01HL132412,493137.0,TargetOnly
2016.0,2016R01HL122677,421395.0,TargetOnly
2018.0,2018R01HL127464,738492.0,TargetOnly
2017.0,2017R01HL131473,418094.0,TargetOnly
2018.0,2018R01HL132985,533826.0,TargetOnly
2017.0,2017R01HL132985,560194.0,TargetOnly
2016.0,2016R01HL132985,580919.0,TargetOnly
2019.0,2019R01HL131862,707064.0,TargetOnly
2018.0,2018R01HL133497,362500.0,TargetOnly
2018.0,2018R01HL125643,416091.0,TargetOnly
2016.0,2016R01HL126901,677781.0,TargetOnly
2018.0,2018R01HL131961,669213.0,TargetOnly
2018.0,2018R01HL129767,580616.0,TargetOnly
2019.0,2019R01HL129433,588714.0,TargetOnly
2020.0,2020R01HL135987,559756.0,TargetOnly
2017.0,2017R01HL136708,906801.0,TargetOnly
2019.0,2019R01HL132516,600263.0,TargetOnly
2017.0,2017R01HL132904,679088.0,TargetOnly
2020.0,2020R01HL128550,366324.0,TargetOnly
2019.0,2019R01HL128550,432756.0,TargetOnly
2018.0,2018R01HL132840,606989.0,TargetOnly
2018.0,2018R01HL135012,526339.0,TargetOnly
2018.0,2018R01HL126875,402500.0,TargetOnly
2017.0,2017R01HL126875,422381.0,TargetOnly
2019.0,2019R01HL133786,396482.0,TargetOnly
2017.0,2017R01HL133786,426183.0,TargetOnly
2018.0,2018R01HL135313,544000.0,TargetOnly
2017.0,2017R01HL135313,570871.0,TargetOnly
2018.0,2018R01HL131844,362500.0,TargetOnly
2017.0,2017R01HL136431,745911.0,TargetOnly
2020.0,2020R01HL141149,479497.0,TargetOnly
2018.0,2018R01HL140468,348773.0,TargetOnly
2019.0,2019R01HL136962,444166.0,TargetOnly
2019.0,2019R01HL139748,483487.0,TargetOnly
2019.0,2019R01HL142711,597350.0,TargetOnly
2020.0,2020R01HL141805,400627.0,TargetOnly
2020.0,2020R01HL148333,578745.0,TargetOnly
2020.0,2020R01HL147660,266910.0,TargetOnly
2020.0,2020R01HL146713,357174.0,TargetOnly
2019.0,2019R01HL146691,402769.0,TargetOnly
2019.0,2019R01DK033823,660299.0,TargetOnly
2011.0,2011R01DK037948,540269.0,TargetOnly
2013.0,2013R01DK053804,366878.0,TargetOnly
2011.0,2011R01DK046900,382768.0,TargetOnly
2010.0,2010R01DK046900,411474.0,TargetOnly
2006.0,2006R01DK059321,527862.0,TargetOnly
2013.0,2013R01DK072193,696523.0,TargetOnly
2019.0,2019R01DK075787,689850.0,TargetOnly
2015.0,2015R01DK077086,414490.0,TargetOnly
2010.0,2010R01DK078150,898393.0,TargetOnly
2014.0,2014R01DK077704,379294.0,TargetOnly
2016.0,2016R01DK078187,361853.0,TargetOnly
2013.0,2013R01DK082419,349318.0,TargetOnly
2015.0,2015R01DK090029,412539.0,TargetOnly
2013.0,2013R01DK093757,672650.0,TargetOnly
2013.0,2013R01DK091592,380424.0,TargetOnly
2015.0,2015R01DK094162,424745.0,TargetOnly
2015.0,2015R01DK097768,2498591.0,TargetOnly
2014.0,2014R01DK097768,2502736.0,TargetOnly
2017.0,2017R01DK098662,360366.0,TargetOnly
2016.0,2016R01DK102559,366614.0,TargetOnly
2020.0,2020R01DK101573,548541.0,TargetOnly
2018.0,2018R01DK103585,516627.0,TargetOnly
2017.0,2017R01DK099571,380143.0,TargetOnly
2016.0,2016R01DK099571,395469.0,TargetOnly
2015.0,2015R01DK102456,391412.0,TargetOnly
2018.0,2018R01DK104753,504232.0,TargetOnly
2018.0,2018R01DK102325,688241.0,TargetOnly
2018.0,2018R01DK106436,392352.0,TargetOnly
2019.0,2019R01DK109675,501583.0,TargetOnly
2019.0,2019R01DK106045,347298.0,TargetOnly
2016.0,2016R01DK111211,351021.0,TargetOnly
2015.0,2015R01EY024259,570769.0,TargetOnly
2020.0,2020R01DC002368,449714.0,TargetOnly
2016.0,2016R01GM038765,648614.0,TargetOnly
2015.0,2015R01GM064750,131687.0,TargetOnly
2006.0,2006R01GM068946,401235.0,TargetOnly
2015.0,2015R01GM034277,559578.0,TargetOnly
2014.0,2014R01GM075091,455330.0,TargetOnly
2011.0,2011R01GM082952,336476.0,TargetOnly
2012.0,2012R01GM098672,361184.0,TargetOnly
2016.0,2016R01GM101132,316953.0,TargetOnly
2016.0,2016R01GM104464,373740.0,TargetOnly
2016.0,2016R01GM104371,357142.0,TargetOnly
2019.0,2019R01GM115911,384014.0,TargetOnly
2018.0,2018R01GM115911,448079.0,TargetOnly
2019.0,2019R01GM120523,327969.0,TargetOnly
