APY,ACTUAL_PROJECT_YEAR,APY_COST_inf2018,search_term
2005.0,2005P01AG010836,1869668.0,TargetOnly
2004.0,2004P01AG010836,1932489.0,TargetOnly
2003.0,2003P01AG010836,1557706.0,TargetOnly
2002.0,2002P01AG010836,1547649.0,TargetOnly
2001.0,2001P01AG010836,1966129.0,TargetOnly
2000.0,2000P01AG010836,1771867.0,TargetOnly
1999.0,1999P01AG010836,0.0,TargetOnly
2004.0,2004P01AG011355,1992959.0,TargetOnly
2003.0,2003P01AG011355,1940037.0,TargetOnly
2002.0,2002P01AG011355,1895478.0,TargetOnly
2010.0,2010P01AG011370,1428404.0,TargetOnly
2007.0,2007P01AG011542,953674.0,TargetOnly
2006.0,2006P01AG011542,1667882.0,TargetOnly
2005.0,2005P01AG011542,1984908.0,TargetOnly
2004.0,2004P01AG011542,1998238.0,TargetOnly
2003.0,2003P01AG011542,1991701.0,TargetOnly
2002.0,2002P01AG011542,1574395.0,TargetOnly
2001.0,2001P01AG011542,1558895.0,TargetOnly
2000.0,2000P01AG011542,1917144.0,TargetOnly
1999.0,1999P01AG011542,0.0,TargetOnly
2019.0,2019P01AG012411,2060964.0,TargetOnly
2013.0,2013P01AG012411,1249282.0,TargetOnly
2011.0,2011P01AG012411,1369091.0,TargetOnly
2010.0,2010P01AG012411,1426655.0,TargetOnly
2009.0,2009P01AG012411,1447663.0,TargetOnly
2008.0,2008P01AG012411,236099.0,TargetOnly
2005.0,2005P01AG012411,1739791.0,TargetOnly
2004.0,2004P01AG012411,1771891.0,TargetOnly
2002.0,2002P01AG012411,1780569.0,TargetOnly
2012.0,2012P01AG012435,2044228.0,TargetOnly
2011.0,2011P01AG012435,2097107.0,TargetOnly
2010.0,2010P01AG012435,2150236.0,TargetOnly
2009.0,2009P01AG012435,2161173.0,TargetOnly
2002.0,2002P01AG012435,2596795.0,TargetOnly
2000.0,2000P01AG012435,2739877.0,TargetOnly
1999.0,1999P01AG012435,0.0,TargetOnly
2004.0,2004P01AG012993,1815458.0,TargetOnly
2002.0,2002P01AG012993,1802244.0,TargetOnly
2000.0,2000P01AG014248,1469524.0,TargetOnly
1999.0,1999P01AG014248,0.0,TargetOnly
2006.0,2006P01AG014359,1998022.0,TargetOnly
2004.0,2004P01AG014359,2072502.0,TargetOnly
2003.0,2003P01AG014359,2073143.0,TargetOnly
2001.0,2001P01AG014359,2843377.0,TargetOnly
1999.0,1999P01AG014366,0.0,TargetOnly
2000.0,2000P01AG014373,1214454.0,TargetOnly
2005.0,2005P01AG014382,2520020.0,TargetOnly
2004.0,2004P01AG014382,2548569.0,TargetOnly
2020.0,2020P01AG014449,2580492.0,TargetOnly
2018.0,2018P01AG014449,1682041.0,TargetOnly
2016.0,2016P01AG014449,2053383.0,TargetOnly
2015.0,2015P01AG014449,2014448.0,TargetOnly
